# SHOT START
# legend_version=1
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_total = total feedforward contribution
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_total,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
880700,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,1,16.56,15.69,0.87,0.059,0.351,0.084,0.000,2.051,5.70,6,-0.3000
880835,0.014,0.010,1.100,0.433,1.100,0.433,3.369,21.35,0.2135,0.751,0.000,21.35,21.35,0.00,0,0,-0.01268,21.35,21.35,0.00,0,0,21.35,0.00,0.00,0.00,1,29.17,26.51,2.65,0.101,0.547,0.742,-0.085,2.496,21.35,22,-0.4470
880961,0.102,0.071,1.100,0.665,1.100,0.665,2.231,23.13,0.2313,1.492,0.000,23.13,23.13,0.00,0,0,-0.06247,23.13,23.13,0.00,0,0,23.13,0.00,0.00,0.00,1,28.82,25.22,3.60,0.145,0.512,1.420,-0.046,2.953,23.13,24,-0.4301
881083,0.359,0.289,1.100,0.817,1.100,0.817,1.453,22.10,0.2210,2.042,0.000,22.10,22.10,0.00,0,0,-0.11279,22.10,22.10,0.00,0,0,22.10,0.00,0.00,0.00,1,25.65,22.49,3.16,0.345,0.622,1.681,0.015,1.987,22.10,22,0.4208
881216,0.561,0.513,1.100,0.916,1.100,0.916,0.945,18.80,0.1880,2.332,0.000,18.80,18.80,0.00,0,0,-0.15171,18.80,18.80,0.00,0,0,18.80,0.00,0.00,0.00,1,20.70,18.31,2.40,0.554,0.754,1.519,0.009,1.048,18.80,19,-0.3938
881337,0.529,0.533,1.100,0.980,1.100,0.980,0.615,19.85,0.1985,2.534,0.000,19.85,19.85,0.00,0,0,-0.18993,19.85,19.85,0.00,0,0,19.85,0.00,0.00,0.00,1,20.15,17.53,2.61,0.572,0.766,1.487,-0.043,1.063,19.85,19,0.3722
881463,0.503,0.506,1.100,1.022,1.100,1.022,0.400,21.64,0.2164,2.765,0.000,21.64,21.64,0.00,0,0,-0.23481,21.64,21.64,0.00,0,0,21.64,0.00,0.00,0.00,1,21.43,18.43,3.00,0.545,0.734,1.750,-0.043,1.352,21.64,22,-0.0556
881584,0.584,0.563,1.100,1.049,1.100,1.049,0.260,21.13,0.2113,2.945,0.000,21.13,21.13,0.00,0,0,-0.27979,21.13,21.13,0.00,0,0,21.13,0.00,0.00,0.00,1,21.13,18.29,2.84,0.594,0.752,1.990,-0.011,1.223,21.13,21,0.1012
881715,0.660,0.640,1.100,1.067,1.100,1.067,0.169,19.68,0.1968,3.027,0.000,19.68,19.68,0.00,0,0,-0.31969,19.68,19.68,0.00,0,0,19.68,0.00,0.00,0.00,1,19.87,17.38,2.49,0.665,0.790,2.076,-0.005,0.962,19.68,19,0.3486
881840,0.660,0.660,1.100,1.081,1.100,1.081,0.095,19.82,0.1982,3.085,0.000,19.82,19.82,0.00,0,0,-0.37016,19.82,19.82,0.00,0,0,19.82,0.00,0.00,0.00,1,20.01,17.54,2.46,0.683,0.795,2.206,-0.022,0.937,19.82,20,0.0183
