# SHOT START
# legend_version=1
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
86292,0.406,0.407,1.100,0.221,1.100,0.221,2.713,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-19.46,0.00,-19.46,0,1,-19.46,0.00,0.00,0.00,0.00,0.242,1.000,0.00,0,255.00,1,9.28,10.12,-0.84,0.440,0.605,0.000,0.000,1.098,0.00,0,0.0000
86431,0.395,0.394,1.100,0.590,1.100,0.590,2.603,12.10,0.1289,0.266,0.000,12.89,12.10,0.79,1,0,-0.00088,12.89,12.89,0.00,0,0,12.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,18.73,17.42,1.31,0.454,0.754,0.290,-0.054,1.119,12.10,12,0.1952
86557,0.395,0.395,1.100,0.768,1.100,0.768,1.706,18.25,0.1825,0.873,0.000,18.25,18.25,0.00,0,0,-0.02964,18.25,18.25,0.00,0,0,18.25,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.41,19.15,2.25,0.452,0.733,0.901,-0.059,1.105,18.25,18,-0.1376
86687,0.397,0.396,1.100,0.884,1.100,0.884,1.110,20.57,0.2057,1.454,0.000,20.57,20.57,0.00,0,0,-0.07046,20.57,20.57,0.00,0,0,20.57,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.69,19.80,2.89,0.445,0.688,1.479,-0.051,1.499,20.57,21,-0.4486
86819,0.393,0.392,1.100,0.959,1.100,0.959,0.722,22.11,0.2211,1.966,0.000,22.11,22.11,0.00,0,0,-0.11938,22.11,22.11,0.00,0,0,22.11,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.95,20.61,3.35,0.435,0.646,1.991,-0.045,1.905,22.11,22,0.4984
86949,0.395,0.395,1.100,1.009,1.100,1.009,0.470,23.14,0.2314,2.402,0.000,23.14,23.14,0.00,0,0,-0.17326,23.14,23.14,0.00,0,0,23.14,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,25.04,21.42,3.62,0.433,0.617,2.421,-0.040,2.207,23.14,23,-0.0861
87074,0.397,0.396,1.100,1.040,1.100,1.040,0.306,23.99,0.2399,2.771,0.000,23.99,23.99,0.00,0,0,-0.23052,23.99,23.99,0.00,0,0,23.99,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,26.10,22.29,3.80,0.429,0.594,2.786,-0.033,2.452,23.99,24,0.1255
87202,0.406,0.405,1.100,1.061,1.100,1.061,0.199,24.59,0.2459,3.078,0.000,24.59,24.59,0.00,0,0,-0.28924,24.59,24.59,0.00,0,0,24.59,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.91,23.04,3.88,0.435,0.583,3.078,-0.030,2.575,24.59,24,0.2770
87330,0.417,0.415,1.100,1.075,1.100,1.075,0.129,25.08,0.2508,3.332,0.000,25.08,25.08,0.00,0,0,-0.34855,25.08,25.08,0.00,0,0,25.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,27.60,23.70,3.90,0.442,0.577,3.311,-0.026,2.635,25.08,25,0.0206
87462,0.439,0.437,1.100,1.086,1.100,1.086,0.073,25.50,0.2550,3.600,0.000,25.50,25.50,0.00,0,0,-0.42692,25.50,25.50,0.00,0,0,25.50,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,28.20,24.36,3.84,0.461,0.582,3.537,-0.022,2.589,25.50,25,0.3728
87590,0.453,0.449,1.100,1.091,1.100,1.091,0.047,25.83,0.2583,3.759,0.000,25.83,25.83,0.00,0,0,-0.48486,25.83,25.83,0.00,0,0,25.83,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,28.61,24.82,3.80,0.473,0.586,3.669,-0.020,2.550,25.83,26,-0.4793
87726,0.474,0.470,1.100,1.095,1.100,1.095,0.027,26.15,0.2615,3.931,0.000,26.15,26.15,0.00,0,0,-0.56088,26.15,26.15,0.00,0,0,26.15,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,29.02,25.32,3.70,0.491,0.596,3.810,-0.017,2.450,26.15,26,-0.1910
87853,0.568,0.538,1.100,1.097,1.100,1.097,0.017,25.30,0.2530,4.009,0.000,25.30,25.30,0.00,0,0,-0.61404,25.30,25.30,0.00,0,0,25.30,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,28.16,24.84,3.32,0.555,0.642,3.819,0.014,2.019,25.30,25,0.1636
87985,0.645,0.623,1.100,1.098,1.100,1.098,0.011,23.64,0.2364,3.998,0.000,23.64,23.64,0.00,0,0,-0.65896,23.64,23.64,0.00,0,0,23.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.27,23.45,2.83,0.637,0.705,3.658,0.009,1.495,23.64,24,-0.4053
