ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_residual,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
1265320,6.594,6.593,2.500,1.761,2.500,1.761,-0.297,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.593,6.593,0.000,0.000,189.601,0.00,0,0.0000
1265439,6.651,6.646,2.500,2.392,2.500,2.392,0.553,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,2.44,-5.00,6.646,6.646,0.000,0.005,140.140,0.00,0,0.0000
1265559,6.665,6.663,2.500,2.439,2.500,2.439,0.312,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,1.38,-5.00,6.663,6.663,0.000,0.003,140.098,0.00,0,0.0000
1265680,6.689,6.683,2.500,2.466,2.500,2.466,0.176,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.78,-5.00,6.683,6.683,0.000,0.008,140.788,0.00,0,0.0000
1265800,6.710,6.702,2.500,2.481,2.500,2.481,0.099,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.44,-5.00,6.702,6.702,0.000,0.008,141.732,0.00,0,0.0000
1265919,6.723,6.716,2.500,2.489,2.500,2.489,0.056,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.25,-5.00,6.716,6.716,0.000,0.007,142.496,0.00,0,0.0000
1266039,6.743,6.738,2.500,2.494,2.500,2.494,0.031,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.14,-5.00,6.738,6.738,0.000,0.005,143.832,0.00,0,0.0000
1266160,6.761,6.756,2.500,2.497,2.500,2.497,0.018,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.08,-5.00,6.756,6.756,0.000,0.006,144.989,0.00,0,0.0000
1266280,6.777,6.772,2.500,2.498,2.500,2.498,0.010,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.04,-5.00,6.772,6.772,0.000,0.006,146.047,0.00,0,0.0000
1266400,6.786,6.782,2.500,2.499,2.500,2.499,0.006,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.03,-5.00,6.782,6.782,0.000,0.005,146.706,0.00,0,0.0000
1266519,6.810,6.804,2.500,2.499,2.500,2.499,0.003,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.01,-5.00,6.804,6.804,0.000,0.006,148.236,0.00,0,0.0000
1266640,6.826,6.823,2.500,2.500,2.500,2.500,0.002,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.01,-5.00,6.823,6.823,0.000,0.003,149.528,0.00,0,0.0000
1266760,6.835,6.833,2.500,2.500,2.500,2.500,0.001,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.833,6.833,0.000,0.002,150.216,0.00,0,0.0000
1266880,6.843,6.841,2.500,2.500,2.500,2.500,0.001,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.841,6.841,0.000,0.002,150.762,0.00,0,0.0000
1266999,6.867,6.859,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.859,6.859,0.000,0.009,152.036,0.00,0,0.0000
1267119,6.873,6.871,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.871,6.871,0.000,0.002,152.870,0.00,0,0.0000
1267239,6.894,6.886,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.886,6.886,0.000,0.009,153.927,0.00,0,0.0000
1267360,6.909,6.904,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.904,6.904,0.000,0.006,155.129,0.00,0,0.0000
1267480,6.920,6.914,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.914,6.914,0.000,0.006,155.866,0.00,0,0.0000
1267599,6.935,6.932,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.932,6.932,0.000,0.003,157.142,0.00,0,0.0000
1267719,6.947,6.946,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.946,6.946,0.000,0.001,158.136,0.00,0,0.0000
1267839,6.952,6.950,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.950,6.950,0.000,0.003,158.406,0.00,0,0.0000
1267959,6.971,6.968,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.968,6.968,0.000,0.003,159.706,0.00,0,0.0000
1268080,6.995,6.988,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,6.988,6.988,0.000,0.008,161.135,0.00,0,0.0000
1268200,7.008,7.005,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,7.005,7.005,0.000,0.003,162.344,0.00,0,0.0000
1268319,7.015,7.013,2.500,2.500,2.500,2.500,0.000,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,0.00,1,0.00,0.00,-5.00,7.013,7.013,0.000,0.002,162.940,0.00,0,0.0000
