ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
1303024,0.056,0.057,1.100,0.111,1.100,0.111,3.278,5.70,0.1493,0.084,0.000,14.93,5.70,9.23,1,0,0.00000,14.93,14.93,0.00,0,0,14.93,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,16.14,15.55,0.59,0.114,0.394,0.107,0.977,0.000,0.000,1.770,5.70,6,-0.3000
1303126,0.000,0.013,1.100,0.340,1.100,0.340,3.721,17.10,0.2042,0.476,0.000,20.42,17.10,3.32,1,0,0.00000,20.42,20.42,0.00,0,0,20.42,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.36,25.15,2.21,0.092,0.478,0.648,3.224,-0.088,-0.008,3.036,17.10,17,0.2000
1303260,0.012,0.009,1.100,0.604,1.100,0.604,2.543,23.09,0.2309,1.270,0.000,23.09,23.09,0.00,0,0,-0.04656,23.09,23.09,0.00,0,0,23.09,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.73,26.98,3.75,0.069,0.367,1.653,4.147,-0.064,-0.017,4.219,23.09,23,0.0821
1303387,0.302,0.229,1.100,0.777,1.100,0.777,1.658,22.49,0.2249,1.889,0.000,22.49,22.49,0.00,0,0,-0.09854,22.49,22.49,0.00,0,0,22.49,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.92,24.53,3.39,0.274,0.494,2.061,2.493,0.031,-0.012,2.957,22.49,23,-0.2197
1303519,0.497,0.440,1.100,0.890,1.100,0.890,1.079,20.21,0.2021,2.274,0.000,20.21,20.21,0.00,0,0,-0.14225,20.21,20.21,0.00,0,0,20.21,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.49,20.75,2.74,0.476,0.651,1.932,1.258,0.024,-0.007,1.662,20.21,20,0.1202
1303648,0.512,0.515,1.100,0.982,1.100,0.982,0.608,20.41,0.2041,2.583,0.000,20.41,20.41,0.00,0,0,-0.19564,20.41,20.41,0.00,0,0,20.41,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,21.46,18.66,2.79,0.544,0.690,1.789,1.967,-0.034,-0.008,1.437,20.41,21,-0.3250
1303780,0.466,0.479,1.100,1.023,1.100,1.023,0.396,22.31,0.2231,2.823,0.000,22.31,22.31,0.00,0,0,-0.24223,22.31,22.31,0.00,0,0,22.31,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.95,19.69,3.25,0.504,0.627,2.073,3.086,-0.041,-0.012,1.938,22.31,23,-0.2889
1303906,0.500,0.494,1.100,1.050,1.100,1.050,0.257,22.83,0.2283,3.046,0.000,22.83,22.83,0.00,0,0,-0.29219,22.83,22.83,0.00,0,0,22.83,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.78,20.45,3.34,0.513,0.609,2.426,3.318,-0.014,-0.013,2.084,22.83,23,-0.1407
1304038,0.555,0.543,1.100,1.067,1.100,1.067,0.167,22.42,0.2242,3.205,0.000,22.42,22.42,0.00,0,0,-0.34020,22.42,22.42,0.00,0,0,22.42,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.64,20.49,3.15,0.559,0.635,2.640,3.121,-0.003,-0.011,1.876,22.42,22,0.4577
1304169,0.582,0.577,1.100,1.079,1.100,1.079,0.109,22.19,0.2219,3.312,0.000,22.19,22.19,0.00,0,0,-0.38573,22.19,22.19,0.00,0,0,22.19,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.51,20.49,3.02,0.590,0.655,2.766,3.107,-0.008,-0.010,1.728,22.19,22,0.0221
