# SHOT START
# legend_version=1
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual
1067133,0.000,0.000,1.100,0.100,1.100,0.100,3.335,5.70,0.1856,0.084,0.000,18.56,5.70,12.86,1,0,0.00000,18.56,18.56,0.00,0,0,18.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,16.62,15.75,0.87,0.059,0.349,0.107,0.978,0.000,0.000,2.072,5.70,6,-0.3000
1067233,0.000,0.000,1.100,0.332,1.100,0.332,3.764,17.10,0.2051,0.477,0.000,20.51,17.10,3.41,1,0,0.00000,20.51,20.51,0.00,0,0,20.51,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.38,25.16,2.22,0.082,0.483,0.595,2.933,-0.077,-0.006,3.021,17.10,17,0.2000
1067360,0.015,0.010,1.100,0.598,1.100,0.598,2.571,23.02,0.2302,1.269,0.000,23.02,23.02,0.00,0,0,-0.04610,23.02,23.02,0.00,0,0,23.02,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,30.40,26.71,3.69,0.074,0.387,1.530,3.877,-0.067,-0.015,3.999,23.02,23,-0.0425
1067496,0.179,0.124,1.100,0.774,1.100,0.774,1.676,23.86,0.2386,1.929,0.000,23.86,23.86,0.00,0,0,-0.10434,23.86,23.86,0.00,0,0,23.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.52,25.52,4.01,0.171,0.399,2.122,3.257,0.009,-0.015,3.944,23.86,24,0.2239
1067624,0.382,0.323,1.100,0.888,1.100,0.888,1.091,22.75,0.2275,2.399,0.000,22.75,22.75,0.00,0,0,-0.15835,22.75,22.75,0.00,0,0,22.75,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,26.43,22.99,3.44,0.360,0.541,2.219,2.081,0.026,-0.010,2.576,22.75,23,0.0211
1067756,0.498,0.471,1.100,0.962,1.100,0.962,0.710,21.19,0.2119,2.676,0.000,21.19,21.19,0.00,0,0,-0.20359,21.19,21.19,0.00,0,0,21.19,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.12,20.17,2.94,0.503,0.657,2.034,1.594,-0.003,-0.007,1.669,21.19,21,0.4927
1067883,0.510,0.509,1.100,1.010,1.100,1.010,0.462,21.49,0.2149,2.874,0.000,21.49,21.49,0.00,0,0,-0.24778,21.49,21.49,0.00,0,0,21.49,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,22.30,19.31,2.99,0.536,0.671,2.008,2.200,-0.027,-0.009,1.606,21.49,21,0.1455
1068015,0.502,0.503,1.100,1.042,1.100,1.042,0.300,22.52,0.2252,3.064,0.000,22.52,22.52,0.00,0,0,-0.29522,22.52,22.52,0.00,0,0,22.52,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.08,19.87,3.21,0.527,0.640,2.225,2.953,-0.026,-0.011,1.860,22.52,23,-0.2493
1068141,0.529,0.524,1.100,1.062,1.100,1.062,0.195,22.80,0.2280,3.228,0.000,22.80,22.80,0.00,0,0,-0.34370,22.80,22.80,0.00,0,0,22.80,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.58,20.36,3.22,0.542,0.634,2.486,3.179,-0.015,-0.012,1.902,22.80,23,-0.1062
1068276,0.575,0.562,1.100,1.075,1.100,1.075,0.127,22.54,0.2254,3.348,0.000,22.54,22.54,0.00,0,0,-0.39076,22.54,22.54,0.00,0,0,22.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,23.58,20.51,3.08,0.577,0.652,2.681,3.121,-0.002,-0.011,1.760,22.54,23,-0.1333
