# SHOT START
# legend_version=2
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered RPM intended for easier visual analysis
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_pulse_count,tach_glitch_rejects,tach_timeout
565149,0.289,0.290,1.100,0.175,1.100,0.175,2.953,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-17.75,0.00,-17.75,0,1,-17.75,0.00,0.00,0.00,0.00,0.671,1.000,0.00,0,255.00,1,10.59,10.98,-0.40,0.328,0.517,0.001,0.006,0.000,0.000,1.484,0.00,0,0.0000,0,0.00,0.00,0,0,1
565250,0.000,0.066,1.100,0.387,1.100,0.387,3.477,11.40,0.2013,0.244,0.000,20.13,11.40,8.73,1,0,0.00000,20.13,20.13,0.00,0,0,20.13,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,23.21,20.96,2.25,0.124,0.413,0.579,3.430,-0.126,-0.014,3.837,11.40,11,0.1000,1649,18192.84,18192.84,8,0,0
565382,0.000,0.007,1.100,0.635,1.100,0.635,2.384,23.27,0.2327,1.043,0.000,23.27,23.27,0.00,0,0,-0.03528,23.27,23.27,0.00,0,0,23.27,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,31.07,27.10,3.97,0.059,0.312,1.871,5.214,-0.068,-0.022,4.799,23.27,23,-0.0873,1704,17605.63,17906.29,18,0,0
565511,0.000,0.001,1.100,0.797,1.100,0.797,1.555,25.23,0.2523,1.797,0.000,25.23,25.23,0.00,0,0,-0.10245,25.23,25.23,0.00,0,0,25.23,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,32.74,27.78,4.96,0.035,0.203,2.825,5.094,-0.040,-0.025,6.454,25.23,25,-0.2152,1697,17678.26,17898.37,27,0,0
565641,0.095,0.052,1.100,0.903,1.100,0.903,1.012,26.31,0.2631,2.431,0.000,26.31,26.31,0.00,0,0,-0.17917,26.31,26.31,0.00,0,0,26.31,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,33.03,28.03,5.00,0.076,0.192,3.424,4.578,0.022,-0.024,6.735,26.31,26,0.1191,1654,18137.85,18015.23,42,1,0
565774,0.200,0.170,1.100,0.972,1.100,0.972,0.658,26.38,0.2638,2.916,0.000,26.38,26.38,0.00,0,0,-0.25270,26.38,26.38,0.00,0,0,26.38,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,32.10,27.19,4.91,0.192,0.295,3.585,3.785,0.011,-0.019,5.473,26.38,26,0.1766,6990,4291.85,13888.50,56,3,0
565910,0.400,0.353,1.100,1.017,1.100,1.017,0.428,25.08,0.2508,3.239,0.000,25.08,25.08,0.00,0,0,-0.31621,25.08,25.08,0.00,0,0,25.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,29.09,25.07,4.02,0.374,0.474,3.393,2.655,0.031,-0.011,3.399,25.08,25,-0.2571,4129,7265.68,9508.21,72,4,0
566038,0.417,0.419,1.100,1.046,1.100,1.046,0.279,24.84,0.2484,3.445,0.000,24.84,24.84,0.00,0,0,-0.37228,24.84,24.84,0.00,0,0,24.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,27.51,23.74,3.77,0.440,0.542,3.171,2.860,-0.022,-0.009,2.750,24.84,25,-0.2722,1903,15764.58,12116.58,90,4,0
566174,0.424,0.419,1.100,1.065,1.100,1.065,0.181,25.56,0.2556,3.630,0.000,25.56,25.56,0.00,0,0,-0.43016,25.56,25.56,0.00,0,0,25.56,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,27.78,23.91,3.87,0.438,0.533,3.221,3.485,-0.015,-0.011,2.847,25.56,26,-0.1414,1630,18404.91,15185.28,104,6,0
566303,0.521,0.492,1.100,1.077,1.100,1.077,0.118,24.87,0.2487,3.760,0.000,24.87,24.87,0.00,0,0,-0.48506,24.87,24.87,0.00,0,0,24.87,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,26.88,23.37,3.51,0.509,0.592,3.251,3.188,0.015,-0.009,2.307,24.87,24,0.4433,1748,17162.47,15548.70,124,7,0
