ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_pulse_count,tach_glitch_rejects,tach_timeout
65595,0.217,0.219,9.000,0.445,9.000,0.445,12.668,5.70,0.1690,0.083,0.000,16.90,5.70,11.20,1,0,0.00000,16.90,16.90,0.00,0,0,16.90,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,50.74,48.13,2.61,0.400,1.272,0.105,0.961,0.000,0.000,34.553,5.70,6,-0.3000,0,0.00,0.00,0,0,1
65700,0.219,0.219,9.000,2.135,9.000,2.135,30.694,17.10,0.3571,0.470,0.000,35.71,17.10,18.61,1,0,0.00000,35.71,35.71,0.00,0,0,34.15,0.00,1.57,8.50,0.28,1.000,1.045,1.57,1,60.00,1,59.40,54.40,5.00,0.405,1.294,0.584,2.883,-0.189,-0.016,233.896,17.10,17,0.2000,3400,8823.53,8823.53,15,0,0
65829,0.223,0.222,9.000,4.492,9.000,4.492,23.008,34.20,0.5910,1.511,0.000,59.10,34.20,24.90,1,0,0.00000,59.10,59.10,0.00,0,0,54.36,0.00,4.74,8.50,1.00,1.000,1.160,4.74,1,60.00,1,68.81,63.81,5.00,0.394,1.210,1.839,5.752,-0.176,-0.038,352.739,34.20,35,-0.3000,5666,5294.74,8094.49,24,1,0
65962,0.239,0.234,9.000,6.066,9.000,6.066,15.067,51.30,0.7424,2.989,0.000,74.24,51.30,22.94,1,0,0.00000,74.24,74.24,0.00,0,0,67.78,0.00,6.46,8.50,1.00,1.000,1.160,6.46,1,60.00,1,78.22,73.22,5.00,0.387,1.107,3.557,8.566,-0.155,-0.054,413.347,51.30,52,-0.5000,5314,5645.46,6630.80,41,2,0
66096,0.244,0.243,9.000,7.091,9.000,7.091,9.805,68.40,0.8392,4.798,0.000,83.92,68.40,15.52,1,0,0.00000,83.92,83.92,0.00,0,0,76.53,0.00,7.39,8.50,1.00,1.000,1.160,7.39,1,60.00,1,87.62,82.62,5.00,0.374,0.988,5.604,11.426,-0.137,-0.065,460.405,68.40,69,-0.4000,4120,7281.55,6581.01,62,3,0
66230,0.257,0.252,9.000,7.758,9.000,7.758,6.379,85.50,0.9011,6.860,0.000,90.11,85.50,4.61,1,0,0.00000,90.11,90.11,0.00,0,0,82.21,0.00,7.90,8.50,0.77,1.000,1.123,7.90,0,255.00,1,97.02,92.02,5.00,0.361,0.866,7.891,14.284,-0.111,-0.072,497.024,85.50,85,0.0000,9705,3091.19,5144.34,82,4,0
66358,0.263,0.262,9.000,8.192,9.000,8.192,4.150,97.92,0.9792,9.018,0.000,97.92,97.92,0.00,0,0,-0.47208,97.92,97.92,0.00,0,0,89.74,0.00,8.17,8.50,0.42,1.000,1.068,8.17,0,255.00,1,100.00,98.86,5.00,0.329,0.638,10.220,16.353,-0.083,-0.075,535.690,97.92,98,-0.0385,9705,3091.19,4142.40,108,6,0
66494,0.271,0.270,9.000,8.545,9.000,8.545,2.339,99.00,0.9900,11.334,0.000,99.00,99.00,0.00,0,0,-0.47208,99.00,99.00,0.00,0,0,92.75,0.00,6.25,2.65,0.16,1.000,1.026,6.25,0,255.00,1,100.00,99.45,5.00,0.292,0.391,12.564,16.547,-0.029,-0.070,575.336,99.00,99,0.2824,9705,3091.19,3521.77,140,10,0
66621,0.309,0.292,9.000,8.704,9.000,8.704,1.522,98.00,0.9800,12.566,0.000,98.00,98.00,0.00,0,0,-0.47208,98.00,98.00,0.00,0,0,94.07,0.00,3.93,0.79,0.07,1.000,1.012,3.93,0,255.00,1,100.00,98.90,5.00,0.296,0.319,13.688,16.240,0.011,-0.062,589.196,98.00,98,0.3383,3931,7631.65,5846.04,165,11,0
66755,8.846,6.746,9.000,8.807,9.000,8.807,0.990,84.00,0.6214,12.280,0.000,62.14,84.00,-21.86,0,1,-0.91133,62.14,62.14,0.00,0,0,59.85,0.00,2.29,0.23,0.03,1.000,1.005,2.29,0,255.00,1,96.20,91.20,5.00,6.778,6.926,10.948,0.000,2.239,0.080,35.674,84.00,84,0.2888,5014,5983.25,6334.27,190,13,0
