# SHOT START
# legend_version=2
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from accepted pulse counts over a fixed time window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_timeout
48468,12.000,12.000,9.000,4.448,9.000,4.448,-11.599,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-487.94,0.00,-487.94,0,1,-487.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,0.00,0.00,-5.00,12.000,12.000,0.000,0.000,0.000,0.000,649.410,0.00,0,0.0000,0,0.00,0.00,0.00,0.00,0,0,0,0,1
48574,0.425,1.678,9.000,5.400,9.000,5.400,16.277,11.40,0.5705,0.209,0.000,57.05,11.40,45.65,1,0,0.00000,57.05,57.05,0.00,0,0,54.20,0.00,2.85,8.50,1.00,1.000,1.160,2.85,1,60.00,1,56.27,51.27,5.00,1.690,1.746,4.236,15.725,-1.391,-0.080,289.251,11.40,11,0.1000,10819,2772.90,2772.90,0.00,2772.90,0,1,4,4,0
48706,0.470,0.600,9.000,6.638,9.000,6.638,12.062,28.50,0.7670,1.050,0.000,76.70,28.50,48.20,1,0,0.00000,76.70,76.70,0.00,0,0,71.27,0.00,5.43,8.50,1.00,1.000,1.160,5.43,1,60.00,1,65.68,60.67,5.00,0.576,0.459,8.204,18.683,-0.133,-0.080,486.079,28.50,28,0.5000,9409,3188.44,2975.68,0.00,3188.44,0,1,8,10,0
48806,0.484,0.508,9.000,7.226,9.000,7.226,9.106,39.90,0.8324,1.890,0.000,83.24,39.90,43.34,1,0,0.00000,83.24,83.24,0.00,0,0,76.78,0.00,6.46,8.50,1.00,1.000,1.160,6.46,0,255.00,1,71.94,66.94,5.00,0.460,0.233,10.670,20.600,0.012,-0.074,531.588,39.90,40,-0.4000,13682,2192.66,2632.23,1088.23,1088.23,0,2,10,11,0
48943,0.515,0.510,9.000,7.846,9.000,7.846,5.929,57.00,0.8958,3.465,0.000,89.58,57.00,32.58,1,0,0.00000,89.58,89.58,0.00,0,0,82.18,0.00,7.39,8.50,0.71,1.000,1.113,7.39,0,255.00,1,81.35,76.35,5.00,0.450,0.164,13.602,20.673,0.064,-0.058,560.981,57.00,57,-0.5000,12105,2478.31,1878.76,1088.23,1088.23,0,2,19,21,0
49045,0.574,0.545,9.000,8.133,9.000,8.133,4.452,68.40,0.9236,4.682,0.000,92.36,68.40,23.96,1,0,0.00000,92.36,92.36,0.00,0,0,84.60,0.00,7.76,8.50,0.47,1.000,1.076,7.76,0,255.00,1,87.62,82.62,5.00,0.487,0.214,15.055,20.620,0.092,-0.046,565.803,68.40,69,-0.4000,17533,1711.06,1594.17,1088.23,1088.23,0,2,25,23,0
49175,4.396,2.869,9.000,8.436,9.000,8.436,2.896,85.50,0.8607,6.448,0.000,86.07,85.50,0.57,1,0,0.00000,86.07,86.07,0.00,0,0,78.89,0.00,7.18,4.75,0.23,1.000,1.037,7.18,0,255.00,1,97.02,92.02,5.00,2.916,3.135,14.345,2.740,1.708,0.070,265.238,85.50,85,0.0000,10226,2933.70,1763.21,1940.56,1940.56,0,2,36,32,0
49275,6.786,5.719,9.000,8.577,9.000,8.577,2.174,70.20,0.6603,6.723,0.000,66.03,70.20,-4.17,0,1,-0.20468,66.03,66.03,0.00,0,0,60.37,0.00,5.66,2.16,0.14,1.000,1.022,5.66,0,255.00,1,88.61,83.61,5.00,5.750,5.896,11.385,0.000,1.134,0.080,76.260,70.20,70,0.0500,10347,2899.39,1827.06,1940.56,1940.56,0,2,43,36,0
49406,6.862,6.979,9.000,8.725,9.000,8.725,1.415,49.22,0.4922,6.277,0.000,49.22,49.22,0.00,0,0,-0.35772,49.22,49.22,0.00,0,0,45.71,0.00,3.51,0.64,0.06,1.000,1.010,3.51,0,255.00,1,77.07,72.07,5.00,7.020,7.215,8.049,0.000,-0.163,0.069,33.995,49.22,50,-0.2835,10841,2767.27,2162.51,2657.55,2767.27,1,1,56,49,0
49549,4.365,5.011,9.000,8.821,9.000,8.821,0.920,66.32,0.7577,6.278,0.000,75.77,66.32,9.45,1,0,-0.35772,75.77,75.77,0.00,0,0,73.74,0.00,2.03,0.19,0.03,1.000,1.004,2.03,0,255.00,1,86.47,81.47,5.00,5.047,5.216,6.477,7.206,-0.761,-0.031,119.267,66.32,67,-0.4339,7153,4194.04,2404.09,2657.55,2657.55,0,2,68,61,0
49682,5.713,5.381,9.000,8.883,9.000,8.883,0.599,75.16,0.7516,6.753,0.000,75.16,75.16,0.00,0,0,-0.57824,75.16,75.16,0.00,0,0,74.02,0.00,1.14,0.05,0.01,1.000,1.001,1.14,0,255.00,1,91.34,86.34,5.00,5.431,5.659,6.788,4.909,0.325,-0.015,94.710,75.16,75,-0.1288,10872,2759.38,2453.84,2452.16,2452.16,0,2,79,73,0
49817,7.848,7.313,9.000,8.924,9.000,8.924,0.389,53.06,0.5108,6.453,0.000,51.08,53.06,-1.98,0,1,-0.77607,51.08,51.08,0.00,0,0,50.45,0.00,0.63,0.01,0.01,1.000,1.000,0.63,0,255.00,1,71.58,66.58,5.00,7.400,7.810,4.799,0.000,0.507,0.061,18.060,53.06,53,0.0018,8083,3711.49,2453.02,2452.16,2452.16,0,2,90,81,0
49952,7.007,7.185,9.000,8.951,9.000,8.951,0.253,56.03,0.5603,5.939,0.000,56.03,56.03,0.00,0,0,-0.91638,56.03,56.03,0.00,0,0,55.68,0.00,0.34,0.00,0.00,1.000,1.000,0.34,0,255.00,1,62.17,57.17,5.00,7.262,7.628,3.393,0.000,-0.277,0.036,18.321,56.03,56,-0.2834,11225,2672.61,2454.08,2429.84,2429.84,0,2,100,90,0
50091,6.898,6.785,9.000,8.968,9.000,8.968,0.165,64.97,0.6497,5.909,0.000,64.97,64.97,0.00,0,0,-1.05095,64.97,64.97,0.00,0,0,64.79,0.00,0.19,0.00,0.00,1.000,1.000,0.19,0,255.00,1,66.72,61.72,5.00,6.846,7.136,3.452,3.678,0.062,0.006,30.834,64.97,65,0.2538,7688,3902.19,2438.65,2429.84,2429.84,0,2,112,101,0
50223,8.118,7.805,9.000,8.979,9.000,8.979,0.107,48.51,0.4851,5.581,0.000,48.51,48.51,0.00,0,0,-1.19063,48.51,48.51,0.00,0,0,48.40,0.00,0.10,0.00,0.00,1.000,1.000,0.10,0,255.00,1,51.21,46.21,5.00,7.875,8.215,2.612,0.000,0.277,0.041,6.728,48.51,48,0.1283,10996,2728.26,2473.90,2508.77,2508.77,0,2,123,113,0
