ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_timeout
55971,16.000,16.000,9.000,5.453,9.000,5.453,-17.705,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-1086.29,0.00,-1086.29,0,1,-1086.29,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,0.00,0.00,-5.00,16.000,16.000,0.000,0.000,0.000,0.000,1305.532,0.00,0,0.0000,0,0.00,0.00,0.00,0.00,0,0,0,0,1
56072,0.068,1.789,9.000,5.943,9.000,5.943,12.717,11.40,0.8330,0.134,0.000,83.30,11.40,71.90,1,0,0.00000,83.30,83.30,0.00,0,0,80.45,0.00,2.85,8.50,1.00,1.000,1.160,2.85,1,60.00,1,56.27,51.27,5.00,1.761,1.623,3.062,12.179,-1.870,-0.080,301.708,11.40,11,0.1000,10087,2974.12,2974.12,0.00,2974.12,0,1,4,4,0
56173,0.060,0.452,9.000,6.675,9.000,6.675,11.637,22.80,1.0000,0.457,0.000,100.00,22.80,77.20,1,0,0.00000,108.15,100.00,8.15,1,0,103.41,0.00,4.74,8.50,1.00,1.000,1.160,4.74,1,60.00,1,62.54,57.54,5.00,0.404,0.167,5.115,13.157,-0.394,-0.080,517.443,22.80,23,-0.0000,9309,3222.69,3063.61,0.00,3222.69,0,1,8,10,0
56304,0.207,0.179,9.000,7.485,9.000,7.485,7.773,39.90,1.0000,1.223,0.000,100.00,39.90,60.10,1,0,0.00000,122.95,100.00,22.95,1,0,116.49,0.00,6.46,8.50,0.93,1.000,1.149,6.46,0,255.00,1,71.94,66.94,5.00,0.112,0.000,7.527,13.357,0.097,-0.070,582.107,39.90,40,-0.4000,10705,2802.43,2445.52,1290.12,1290.12,0,2,14,63,0
56404,1.118,0.777,9.000,7.862,9.000,7.862,5.843,51.30,1.0000,1.856,0.000,100.00,51.30,48.70,1,0,0.00000,124.49,100.00,24.49,1,0,117.35,0.00,7.14,8.50,0.69,1.000,1.111,7.14,0,255.00,1,78.22,73.22,5.00,0.733,0.516,8.667,12.919,0.433,-0.032,520.528,51.30,52,-0.5000,6751,4443.79,2029.57,1290.12,1290.12,0,2,24,139,0
56537,2.444,2.114,9.000,8.260,9.000,8.260,3.802,68.40,1.0000,2.873,0.000,100.00,68.40,31.60,1,0,0.00000,120.29,100.00,20.29,1,0,112.53,0.00,7.76,8.50,0.37,1.000,1.059,7.76,0,255.00,1,87.62,82.62,5.00,2.117,2.136,9.704,11.941,0.373,0.032,353.347,68.40,69,-0.4000,6941,4322.14,2603.99,3888.09,3888.09,0,2,41,294,0
56678,6.697,5.593,9.000,8.518,9.000,8.518,2.473,81.84,0.8184,3.730,0.000,81.84,81.84,0.00,0,0,-0.08777,81.84,81.84,0.00,0,0,75.13,0.00,6.70,3.68,0.18,1.000,1.028,6.70,0,255.00,1,95.01,90.01,5.00,5.664,6.005,7.575,0.000,1.151,0.080,71.555,81.84,81,0.3354,8962,3347.47,3230.63,3888.09,3888.09,0,2,55,450,0
56808,9.905,9.007,9.000,8.687,9.000,8.687,1.609,58.89,0.0000,3.802,0.000,0.00,58.89,-58.89,0,1,-0.15289,-1.11,0.00,-1.11,0,1,-5.30,0.00,4.19,0.00,0.08,0.000,1.013,4.19,0,255.00,1,75.42,77.39,-1.97,9.061,9.325,5.356,0.000,0.925,0.080,4.211,58.89,59,-0.0586,7244,4141.36,3682.04,4197.71,4141.36,1,1,71,1056,0
56945,7.029,7.748,9.000,8.796,9.000,8.796,1.047,35.94,0.3536,3.492,0.000,35.36,35.94,-0.57,0,1,-0.19113,35.36,35.36,0.00,0,0,32.96,0.00,2.40,0.32,0.04,1.000,1.006,2.40,0,255.00,1,66.66,61.66,5.00,7.758,7.810,3.786,0.000,-0.828,0.002,21.645,35.94,36,-0.3026,7776,3858.02,3867.47,3810.60,3858.02,1,1,88,1390,0
57077,4.310,4.974,9.000,8.867,9.000,8.867,0.681,53.04,0.9515,3.511,0.000,95.15,53.04,42.11,1,0,-0.19113,95.15,95.15,0.00,0,0,93.78,0.00,1.36,0.09,0.02,1.000,1.002,1.36,0,255.00,1,79.17,74.17,5.00,4.922,4.669,4.938,9.847,-0.677,-0.080,148.668,53.04,53,-0.2966,7282,4119.75,3839.72,3810.60,3810.60,0,2,103,1540,0
