# SHOT START
# legend_version=4
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_capture_enabled_cfg = 1 when MCPWM capture is enabled by configuration
# tach_capture_init_ok = 1 when MCPWM capture initialized successfully
# tach_capture_active = 1 after MCPWM capture has observed events in this run
# tach_capture_event_count = number of capture ISR events seen since last reset
# tach_capture_last_period_us = most recent MCPWM capture period converted to microseconds
# tach_capture_last_edge = last capture edge enum reported by MCPWM
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_capture_enabled_cfg,tach_capture_init_ok,tach_capture_active,tach_capture_event_count,tach_capture_last_period_us,tach_capture_last_edge,tach_timeout
97842,0.589,0.586,9.000,0.579,9.000,0.579,11.851,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-0.06,0.00,-0.06,0,1,-0.06,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,46.14,45.00,1.14,0.748,1.533,0.000,0.000,0.000,0.000,31.798,0.00,0,0.0000,0,0.00,0.00,0.00,0.00,0.000,0.00,0,0,0,0,0,1,1,0,0,0,0,1,-2147483647
97953,0.608,0.602,9.000,2.229,9.000,2.229,30.134,11.40,0.3345,0.235,0.000,33.45,11.40,22.05,1,0,0.00000,33.45,33.45,0.00,0,0,31.88,0.00,1.57,8.50,0.33,1.000,1.053,1.57,1,60.00,1,56.27,51.27,5.00,0.780,1.633,0.262,1.695,-0.171,-0.014,211.018,11.40,11,0.1000,10299,2912.90,2912.90,0.00,0.00,0.000,2912.90,0,1,4,4,0,1,1,1,8,3408,1,0,0
98089,0.615,0.613,9.000,4.552,9.000,4.552,22.697,28.50,0.5753,1.079,0.000,57.53,28.50,29.03,1,0,0.00000,57.53,57.53,0.00,0,0,52.78,0.00,4.74,8.50,1.00,1.000,1.160,4.74,1,60.00,1,65.68,60.67,5.00,0.782,1.588,1.251,4.505,-0.171,-0.035,318.752,28.50,28,0.5000,8579,3496.91,3197.90,0.00,0.00,0.000,3496.91,0,1,8,7,0,1,1,1,15,1286,1,0,0
98192,0.630,0.623,9.000,5.659,9.000,5.659,17.146,39.90,0.6853,1.907,0.000,68.53,39.90,28.63,1,0,0.00000,68.53,68.53,0.00,0,0,62.53,0.00,6.00,8.50,1.00,1.000,1.160,6.00,1,60.00,1,71.94,66.94,5.00,0.783,1.537,2.214,6.346,-0.158,-0.046,356.229,39.90,40,-0.4000,7163,4188.19,3443.80,0.00,0.00,0.000,4188.19,0,1,14,37,0,1,1,1,51,1900,1,0,0
98326,0.656,0.652,9.000,6.826,9.000,6.826,11.165,57.00,0.7988,3.457,0.000,79.88,57.00,22.88,1,0,0.00000,79.88,79.88,0.00,0,0,72.73,0.00,7.14,8.50,1.00,1.000,1.160,7.14,1,60.00,1,81.35,76.35,5.00,0.794,1.459,3.964,9.043,-0.143,-0.059,399.609,57.00,57,-0.5000,6634,4522.16,3011.72,1960.38,2666.12,1.360,1960.38,0,2,30,139,0,1,1,1,168,11190,1,0,0
98467,0.673,0.669,9.000,7.586,9.000,7.586,7.264,74.10,0.8715,5.300,0.000,87.15,74.10,13.05,1,0,0.00000,87.15,87.15,0.00,0,0,79.39,0.00,7.76,8.50,0.88,1.000,1.141,7.76,0,255.00,1,90.75,85.75,5.00,0.790,1.356,6.018,11.835,-0.124,-0.068,434.366,74.10,74,-0.3000,7714,3889.03,2498.66,1960.38,2666.12,1.360,1960.38,0,2,45,231,0,1,1,1,275,7714,1,0,0
98567,0.703,0.693,9.000,7.938,9.000,7.938,5.454,85.50,0.9044,6.654,0.000,90.44,85.50,4.94,1,0,0.00000,90.44,90.44,0.00,0,0,82.43,0.00,8.01,8.50,0.63,1.000,1.101,8.01,0,255.00,1,97.02,92.02,5.00,0.801,1.300,7.494,13.592,-0.104,-0.071,451.339,85.50,85,0.0000,7996,3751.88,2304.88,1960.38,2666.12,1.360,1960.38,0,2,55,336,0,1,1,1,390,2778,1,0,0
98706,0.718,0.713,9.000,8.309,9.000,8.309,3.548,97.64,0.9764,8.736,0.000,97.64,97.64,0.00,0,0,-0.45280,97.64,97.64,0.00,0,0,89.47,0.00,8.17,8.15,0.33,1.000,1.053,8.17,0,255.00,1,100.00,98.70,5.00,0.780,1.091,9.727,15.573,-0.076,-0.073,483.354,97.64,98,-0.3621,8149,3681.43,2579.89,3191.29,4068.90,1.275,3191.29,0,2,70,460,0,1,1,1,528,1224,1,0,0
98840,0.997,0.867,9.000,8.551,9.000,8.551,2.308,99.34,0.9934,10.496,0.000,99.34,99.34,0.00,0,0,-0.68331,99.34,99.34,0.00,0,0,93.18,0.00,6.15,2.55,0.16,1.000,1.025,6.15,0,255.00,1,100.00,99.64,5.00,0.903,1.073,11.412,14.679,0.103,-0.064,489.981,99.34,100,-0.2505,7288,4116.36,2878.26,3191.29,4068.90,1.275,3191.29,0,2,85,548,0,1,1,1,631,7288,1,0,0
98980,8.957,7.530,9.000,8.708,9.000,8.708,1.502,80.14,0.4745,10.219,0.000,47.45,80.14,-32.69,0,1,-0.97818,47.45,47.45,0.00,0,0,43.59,0.00,3.86,0.76,0.07,1.000,1.011,3.86,0,255.00,1,94.08,89.08,5.00,7.600,7.928,8.068,0.000,1.473,0.080,11.785,80.14,80,0.1142,8446,3551.98,3031.02,3191.29,4068.90,1.275,3191.29,0,2,100,637,0,1,1,1,735,4514,1,0,396832
