# SHOT START
# legend_version=4
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_capture_enabled_cfg = 1 when MCPWM capture is enabled by configuration
# tach_capture_init_ok = 1 when MCPWM capture initialized successfully
# tach_capture_active = 1 after MCPWM capture has observed events in this run
# tach_capture_event_count = number of capture ISR events seen since last reset
# tach_capture_last_period_us = most recent MCPWM capture period converted to microseconds
# tach_capture_last_edge = last capture edge enum reported by MCPWM
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_capture_enabled_cfg,tach_capture_init_ok,tach_capture_active,tach_capture_event_count,tach_capture_last_period_us,tach_capture_last_edge,tach_timeout
21752,12.000,12.000,9.000,3.437,9.000,3.437,-5.494,0.00,0.0000,0.000,0.000,0.00,0.00,0.00,0,0,0.00000,-541.29,0.00,-541.29,0,1,-541.29,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,0.00,0.00,-5.00,12.000,12.000,0.000,0.000,0.000,0.000,684.239,0.00,0,0.0000,0,0.00,0.00,0.00,0.00,0.000,0.00,0,0,0,0,0,1,1,0,0,0,0,1
21860,0.533,1.782,9.000,4.796,9.000,4.796,19.567,11.40,0.5016,0.207,0.000,50.16,11.40,38.76,1,0,0.00000,50.16,50.16,0.00,0,0,47.31,0.00,2.85,8.50,1.00,1.000,1.160,2.85,1,60.00,1,56.27,51.27,5.00,1.792,1.842,4.226,15.711,-1.385,-0.080,265.897,11.40,11,0.1000,11179,2683.60,2683.60,0.00,0.00,0.000,2683.60,0,1,5,3,0,1,1,1,8,7107,1,0
21993,0.584,0.695,9.000,6.246,9.000,6.246,14.077,28.50,0.7285,1.043,0.000,72.85,28.50,44.35,1,0,0.00000,72.85,72.85,0.00,0,0,67.41,0.00,5.43,8.50,1.00,1.000,1.160,5.43,1,60.00,1,65.68,60.67,5.00,0.670,0.547,8.190,18.650,-0.111,-0.080,459.590,28.50,28,0.5000,9391,3194.55,2937.39,0.00,0.00,0.000,3194.55,0,1,9,10,0,1,1,1,19,29531,1,0
22127,0.573,0.582,9.000,7.208,9.000,7.208,9.202,45.60,0.8320,2.362,0.000,83.20,45.60,37.60,1,0,0.00000,83.20,83.20,0.00,0,0,76.36,0.00,6.84,8.50,1.00,1.000,1.160,6.84,0,255.00,1,75.08,70.08,5.00,0.525,0.260,11.731,20.566,0.040,-0.070,523.867,45.60,45,0.2000,12657,2370.23,2581.72,0.00,0.00,0.000,2370.23,0,1,17,317,0,1,1,1,334,4496,1,0
22265,0.646,0.634,9.000,7.834,9.000,7.834,5.988,62.70,0.8930,4.030,0.000,89.30,62.70,26.60,1,0,0.00000,89.30,89.30,0.00,0,0,81.70,0.00,7.60,8.50,0.72,1.000,1.114,7.60,0,255.00,1,84.49,79.49,5.00,0.574,0.290,14.303,20.487,0.074,-0.051,542.517,62.70,62,0.2000,6399,4688.23,2156.60,1710.58,2606.59,1.524,1710.58,0,2,31,815,0,1,1,1,845,1494,1,0
22366,0.595,0.610,9.000,8.125,9.000,8.125,4.496,74.10,0.9223,5.297,0.000,92.23,74.10,18.13,1,0,0.00000,92.23,92.23,0.00,0,0,84.33,0.00,7.90,8.50,0.48,1.000,1.077,7.90,0,255.00,1,90.75,85.75,5.00,0.553,0.289,15.584,20.524,0.043,-0.042,554.702,74.10,74,-0.3000,11339,2645.74,1996.03,1710.58,2606.59,1.524,1710.58,0,2,40,1269,0,1,1,1,1308,1800,1,0
22505,5.973,3.442,9.000,8.431,9.000,8.431,2.925,84.64,0.8464,7.032,0.000,84.64,84.64,0.00,0,0,-0.14966,84.64,84.64,0.00,0,0,77.34,0.00,7.30,4.87,0.24,1.000,1.038,7.30,0,255.00,1,96.55,91.55,5.00,3.474,3.626,14.779,0.000,2.831,0.080,219.991,84.64,85,-0.3560,7686,3903.20,1856.73,1710.58,2606.59,1.524,1710.58,0,2,55,1848,0,1,1,1,1902,3585,1,0
22605,8.016,6.699,9.000,8.572,9.000,8.572,2.196,69.34,0.5242,7.074,0.000,52.42,69.34,-16.92,0,1,-0.30359,52.42,52.42,0.00,0,0,46.66,0.00,5.76,2.22,0.14,1.000,1.023,5.76,0,255.00,1,88.14,83.14,5.00,6.699,6.702,11.729,0.000,1.436,0.080,41.102,69.34,69,-0.0179,8845,3391.75,2303.78,3098.53,4608.06,1.487,3098.53,0,2,65,2601,0,1,1,1,2664,3396,1,0
22738,7.251,7.455,9.000,8.722,9.000,8.722,1.428,46.39,0.4006,6.426,0.000,40.06,46.39,-6.33,0,1,-0.40571,40.06,40.06,0.00,0,0,36.48,0.00,3.58,0.66,0.06,1.000,1.010,3.58,0,255.00,1,75.52,70.52,5.00,7.475,7.572,8.292,0.000,-0.239,0.066,25.041,46.39,46,0.1141,10197,2942.04,2691.61,3098.53,4608.06,1.487,3098.53,0,2,78,3486,0,1,1,1,3562,3130,1,0
22844,4.524,5.527,9.000,8.791,9.000,8.791,1.073,57.79,0.7137,6.266,0.000,71.37,57.79,13.58,1,0,-0.40571,71.37,71.37,0.00,0,0,68.87,0.00,2.50,0.29,0.04,1.000,1.006,2.50,0,255.00,1,81.79,76.79,5.00,5.535,5.576,6.928,3.184,-1.124,-0.027,97.401,57.79,58,0.0022,11771,2548.64,2838.10,3098.53,4608.06,1.487,3098.53,0,2,87,3978,0,1,1,1,4063,5840,1,0
